"nftId","uri","image","metadata"
"moneyverse-1017","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeih435vi4vuzl3rwgzqkzpmmuad7ymxw52uvm3kyxwxw3apuw4byji","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1017"",""fileName"":""2-sliver-0099"",""ipfs_hash"":""ipfs://bafybeih435vi4vuzl3rwgzqkzpmmuad7ymxw52uvm3kyxwxw3apuw4byji"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0016,""Z"":0.0068},""coin_2_rotate"":{""X"":-0.0016,""Z"":-0.0068}}}"
"moneyverse-1018","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeietoz2xl5snai5rkbtdn4f5fjb2bxalilsej5iagdjvzy26vm3k3a","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1018"",""fileName"":""2-sliver-0678"",""ipfs_hash"":""ipfs://bafybeietoz2xl5snai5rkbtdn4f5fjb2bxalilsej5iagdjvzy26vm3k3a"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0051,""Z"":0.0083},""coin_2_rotate"":{""X"":-0.0051,""Z"":-0.0083},""coin_1_position"":{""X"":117,""Y"":-72},""coin_2_position"":{""X"":181,""Y"":5}}}"
"moneyverse-1019","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeic74rlgx65cqyx2hq3g6mfv73zuvyfxrmkly4awggqqznt6kz6qvq","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1019"",""fileName"":""2-sliver-0558"",""ipfs_hash"":""ipfs://bafybeic74rlgx65cqyx2hq3g6mfv73zuvyfxrmkly4awggqqznt6kz6qvq"",""attributes"":{""background"":""Mixing"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0017,""Z"":0.0062},""coin_2_rotate"":{""X"":-0.0017,""Z"":-0.0062},""coin_1_position"":{""X"":-187,""Y"":-1},""coin_2_position"":{""X"":32,""Y"":120}}}"
"moneyverse-1020","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeicot7cybwymgndod6fnuhqpj4fjhjqnr3sxm4bhdcg2emulagrswm","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1020"",""fileName"":""2-sliver-1024"",""ipfs_hash"":""ipfs://bafybeicot7cybwymgndod6fnuhqpj4fjhjqnr3sxm4bhdcg2emulagrswm"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0088,""Z"":0.0091},""coin_2_rotate"":{""X"":0.0091,""Z"":0.003}}}"
"moneyverse-1021","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeidk6zfcma77ybcrjetbpeics5rwphr3w4t5dynxtekfztpe7b46oi","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1021"",""fileName"":""2-sliver-1086"",""ipfs_hash"":""ipfs://bafybeidk6zfcma77ybcrjetbpeics5rwphr3w4t5dynxtekfztpe7b46oi"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Random"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.005,""Z"":0.0088},""coin_2_rotate"":{""X"":0.0013,""Z"":0.0097},""coin_1_position"":{""X"":-49,""Y"":-124},""coin_2_position"":{""X"":185,""Y"":15}}}"
"moneyverse-1022","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeideunouo3ljkcbkf3n6xy75yz2rz5c7tzybsig2ytf46fc5rlubyi","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1022"",""fileName"":""2-sliver-0641"",""ipfs_hash"":""ipfs://bafybeideunouo3ljkcbkf3n6xy75yz2rz5c7tzybsig2ytf46fc5rlubyi"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Bottom"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0044,""Z"":0.0096},""coin_2_rotate"":{""X"":-0.0044,""Z"":-0.0096},""coin_1_position"":{""X"":2,""Y"":84},""coin_2_position"":{""X"":-4,""Y"":-142}}}"
"moneyverse-1023","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeifsjnuvbezaikq3blx7og4rpaegmv2qn2ibx4ili73sp7gw7kj5iy","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1023"",""fileName"":""2-sliver-0650"",""ipfs_hash"":""ipfs://bafybeifsjnuvbezaikq3blx7og4rpaegmv2qn2ibx4ili73sp7gw7kj5iy"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0096,""Z"":0.005},""coin_2_rotate"":{""X"":0.0088,""Z"":0.0069}}}"
"moneyverse-1024","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeicha76uvq357lverp5dy3dqabvlzwrnhruylmfyu7cvlpvqypjaoq","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1024"",""fileName"":""2-sliver-0684"",""ipfs_hash"":""ipfs://bafybeicha76uvq357lverp5dy3dqabvlzwrnhruylmfyu7cvlpvqypjaoq"",""attributes"":{""background"":""Fade Out"",""publish_info_layout"":""Bottom"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0057,""Z"":0.0016},""coin_2_rotate"":{""X"":-0.0057,""Z"":-0.0016},""coin_1_position"":{""X"":120,""Y"":60},""coin_2_position"":{""X"":-97,""Y"":-91}}}"
"moneyverse-1025","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeif7pdq6wloilqgvlugdw6dv6trdn6igkgmf6xeb6og2m6azlmvb4u","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1025"",""fileName"":""2-sliver-0041"",""ipfs_hash"":""ipfs://bafybeif7pdq6wloilqgvlugdw6dv6trdn6igkgmf6xeb6og2m6azlmvb4u"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Bottom"",""coins_layout"":""Standard"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0037,""Z"":0.0054},""coin_2_rotate"":{""X"":-0.0037,""Z"":-0.0054}}}"
"moneyverse-1026","https://api.ckxpress.com/book-nft/metadata?book_id=1","ipfs://bafybeibjzmcjbrxepxbgchs7qkhs367hwfnjithnotu5zs4xnecxs3hkli","{""name"":""《所謂「我不投資」，就是 all in 在法定貨幣》"",""description"":""#1026"",""fileName"":""2-sliver-1033"",""ipfs_hash"":""ipfs://bafybeibjzmcjbrxepxbgchs7qkhs367hwfnjithnotu5zs4xnecxs3hkli"",""attributes"":{""background"":""Fade In"",""publish_info_layout"":""Kitty-Corner"",""coins_layout"":""Mirror"",""coins_color"":""Sliver"",""coin_1_rotate"":{""X"":0.0098,""Z"":0.0077},""coin_2_rotate"":{""X"":-0.0098,""Z"":-0.0077},""coin_1_position"":{""X"":93,""Y"":-142},""coin_2_position"":{""X"":18,""Y"":93}}}"
